OpenJDK 64-Bit Server VM (25.0-b70) for linux-amd64 JRE (1.8.0-internal-rbruno_2015_06_16_18_57-b00), built on Feb 13 2017 22:45:11 by "root" with gcc 4.6.4
Memory: 4k page, physical 35197500k(34083656k free), swap 0k(0k free)
CommandLine flags: -XX:+CMSEdenChunksRecordAlways -XX:CMSInitiatingOccupancyFraction=75 -XX:+CMSParallelInitialMarkEnabled -XX:+CMSParallelRemarkEnabled -XX:CMSWaitDuration=10000 -XX:InitialHeapSize=4294967296 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=4294967296 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=1 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PerfDisableSharedMem -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=8 -XX:-TieredCompilation -XX:+UseCMSInitiatingOccupancyOnly -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseCondCardMark -XX:+UseParNewGC 
2.517: [GC (Allocation Failure) 2.517: [ParNew: 545344K->68096K(613440K), 2.1367445 secs] 545344K->209862K(4126208K), 2.1369500 secs] [Times: user=4.11 sys=0.79, real=2.14 secs] 
6.236: [GC (Allocation Failure) 6.236: [ParNew: 613440K->68096K(613440K), 0.9510994 secs] 755206K->530823K(4126208K), 0.9512719 secs] [Times: user=4.30 sys=0.32, real=0.95 secs] 
8.828: [GC (Allocation Failure) 8.828: [ParNew: 613440K->68096K(613440K), 0.2778183 secs] 1076167K->659795K(4126208K), 0.2779610 secs] [Times: user=1.44 sys=0.05, real=0.27 secs] 
16.565: [GC (Allocation Failure) 16.565: [ParNew: 613440K->60635K(613440K), 0.1497402 secs] 1205139K->720408K(4126208K), 0.1498862 secs] [Times: user=0.64 sys=0.04, real=0.15 secs] 
25.603: [GC (Allocation Failure) 25.603: [ParNew: 605979K->15399K(613440K), 0.0308461 secs] 1265752K->676282K(4126208K), 0.0310115 secs] [Times: user=0.21 sys=0.00, real=0.03 secs] 
33.700: [GC (Allocation Failure) 33.700: [ParNew: 560743K->3913K(613440K), 0.0259244 secs] 1221626K->665089K(4126208K), 0.0260574 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
42.011: [GC (Allocation Failure) 42.011: [ParNew: 549257K->2103K(613440K), 0.0300827 secs] 1210433K->664129K(4126208K), 0.0302168 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
50.140: [GC (Allocation Failure) 50.140: [ParNew: 547447K->1315K(613440K), 0.0234891 secs] 1209473K->664245K(4126208K), 0.0236142 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
58.126: [GC (Allocation Failure) 58.126: [ParNew: 546659K->1096K(613440K), 0.0200630 secs] 1209589K->664742K(4126208K), 0.0202026 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
66.476: [GC (Allocation Failure) 66.476: [ParNew: 546440K->1310K(613440K), 0.0323819 secs] 1210086K->665764K(4126208K), 0.0324682 secs] [Times: user=0.11 sys=0.00, real=0.04 secs] 
74.299: [GC (Allocation Failure) 74.299: [ParNew: 546654K->1517K(613440K), 0.0333910 secs] 1211108K->666618K(4126208K), 0.0334657 secs] [Times: user=0.13 sys=0.00, real=0.04 secs] 
82.751: [GC (Allocation Failure) 82.751: [ParNew: 546861K->1172K(613440K), 0.0238106 secs] 1211962K->667056K(4126208K), 0.0238736 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
91.578: [GC (Allocation Failure) 91.578: [ParNew: 546516K->1429K(613440K), 0.0297052 secs] 1212400K->668128K(4126208K), 0.0298115 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
100.234: [GC (Allocation Failure) 100.234: [ParNew: 546773K->1501K(613440K), 0.0249889 secs] 1213472K->669160K(4126208K), 0.0250529 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
108.855: [GC (Allocation Failure) 108.855: [ParNew: 546845K->1340K(613440K), 0.0322010 secs] 1214504K->669822K(4126208K), 0.0322010 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
117.184: [GC (Allocation Failure) 117.184: [ParNew: 546684K->1781K(613440K), 0.0283215 secs] 1215166K->671269K(4126208K), 0.0283215 secs] [Times: user=0.08 sys=0.01, real=0.03 secs] 
125.774: [GC (Allocation Failure) 125.774: [ParNew: 547125K->1476K(613440K), 0.0192262 secs] 1216613K->671998K(4126208K), 0.0192920 secs] [Times: user=0.09 sys=0.01, real=0.02 secs] 
134.377: [GC (Allocation Failure) 134.377: [ParNew: 546820K->1739K(613440K), 0.0230118 secs] 1217342K->673228K(4126208K), 0.0231659 secs] [Times: user=0.09 sys=0.01, real=0.03 secs] 
142.994: [GC (Allocation Failure) 142.994: [ParNew: 547083K->1886K(613440K), 0.0242932 secs] 1218572K->674579K(4126208K), 0.0243707 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
151.338: [GC (Allocation Failure) 151.338: [ParNew: 547230K->1738K(613440K), 0.0232987 secs] 1219923K->675551K(4126208K), 0.0234403 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
160.016: [GC (Allocation Failure) 160.016: [ParNew: 547082K->1477K(613440K), 0.0282848 secs] 1220895K->676198K(4126208K), 0.0283549 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
168.443: [GC (Allocation Failure) 168.443: [ParNew: 546821K->1497K(613440K), 0.0391158 secs] 1221542K->677295K(4126208K), 0.0391158 secs] [Times: user=0.13 sys=0.00, real=0.04 secs] 
176.979: [GC (Allocation Failure) 176.979: [ParNew: 546841K->1624K(613440K), 0.0497567 secs] 1222639K->678440K(4126208K), 0.0497567 secs] [Times: user=0.16 sys=0.00, real=0.06 secs] 
185.710: [GC (Allocation Failure) 185.710: [ParNew: 546968K->1672K(613440K), 0.0240806 secs] 1223784K->679504K(4126208K), 0.0241687 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
194.221: [GC (Allocation Failure) 194.221: [ParNew: 547016K->1739K(613440K), 0.0297837 secs] 1224848K->680775K(4126208K), 0.0299501 secs] [Times: user=0.14 sys=0.00, real=0.03 secs] 
202.596: [GC (Allocation Failure) 202.596: [ParNew: 547083K->1445K(613440K), 0.0225782 secs] 1226119K->681320K(4126208K), 0.0225782 secs] [Times: user=0.07 sys=0.01, real=0.02 secs] 
211.057: [GC (Allocation Failure) 211.057: [ParNew: 546789K->1832K(613440K), 0.0251877 secs] 1226664K->682708K(4126208K), 0.0252748 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
220.137: [GC (Allocation Failure) 220.137: [ParNew: 547176K->1911K(613440K), 0.0341329 secs] 1228052K->683910K(4126208K), 0.0342189 secs] [Times: user=0.12 sys=0.00, real=0.04 secs] 
229.133: [GC (Allocation Failure) 229.133: [ParNew: 547255K->2098K(613440K), 0.0311341 secs] 1229254K->685446K(4126208K), 0.0311341 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
237.732: [GC (Allocation Failure) 237.732: [ParNew: 547442K->1440K(613440K), 0.0405394 secs] 1230790K->684972K(4126208K), 0.0406170 secs] [Times: user=0.15 sys=0.00, real=0.04 secs] 
246.509: [GC (Allocation Failure) 246.509: [ParNew: 546784K->1845K(613440K), 0.0246648 secs] 1230316K->686267K(4126208K), 0.0248322 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
255.431: [GC (Allocation Failure) 255.431: [ParNew: 547189K->1908K(613440K), 0.0219380 secs] 1231611K->687577K(4126208K), 0.0220236 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
264.001: [GC (Allocation Failure) 264.001: [ParNew: 547252K->1471K(613440K), 0.0327762 secs] 1232921K->688224K(4126208K), 0.0328394 secs] [Times: user=0.11 sys=0.01, real=0.03 secs] 
272.638: [GC (Allocation Failure) 272.638: [ParNew: 546815K->1584K(613440K), 0.0260313 secs] 1233568K->689315K(4126208K), 0.0261876 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
281.207: [GC (Allocation Failure) 281.207: [ParNew: 546928K->1526K(613440K), 0.0207181 secs] 1234659K->690038K(4126208K), 0.0208116 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
289.649: [GC (Allocation Failure) 289.649: [ParNew: 546870K->1811K(613440K), 0.0288207 secs] 1235382K->691374K(4126208K), 0.0288995 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
298.432: [GC (Allocation Failure) 298.432: [ParNew: 547155K->1777K(613440K), 0.0387338 secs] 1236718K->692709K(4126208K), 0.0387977 secs] [Times: user=0.17 sys=0.00, real=0.04 secs] 
307.142: [GC (Allocation Failure) 307.142: [ParNew: 547121K->2025K(613440K), 0.0201194 secs] 1238053K->694174K(4126208K), 0.0202709 secs] [Times: user=0.10 sys=0.00, real=0.02 secs] 
315.838: [GC (Allocation Failure) 315.838: [ParNew: 547369K->1310K(613440K), 0.0235133 secs] 1239518K->694606K(4126208K), 0.0235837 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
324.753: [GC (Allocation Failure) 324.753: [ParNew: 546654K->1407K(613440K), 0.0250327 secs] 1239950K->695698K(4126208K), 0.0251186 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
333.605: [GC (Allocation Failure) 333.605: [ParNew: 546751K->1338K(613440K), 0.0326731 secs] 1241042K->696604K(4126208K), 0.0327062 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
342.729: [GC (Allocation Failure) 342.729: [ParNew: 546682K->1467K(613440K), 0.0316078 secs] 1241948K->697660K(4126208K), 0.0316707 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
351.997: [GC (Allocation Failure) 351.997: [ParNew: 546811K->1559K(613440K), 0.0339331 secs] 1243004K->698710K(4126208K), 0.0340055 secs] [Times: user=0.10 sys=0.00, real=0.04 secs] 
360.614: [GC (Allocation Failure) 360.614: [ParNew: 546903K->1497K(613440K), 0.0317951 secs] 1244054K->699663K(4126208K), 0.0319335 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
369.245: [GC (Allocation Failure) 369.245: [ParNew: 546841K->1286K(613440K), 0.0249385 secs] 1245007K->700402K(4126208K), 0.0250175 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
